,Ticket Created Date,Total Tickets Opened,Subscription Order Count,Non Subscription Order Count,Fall,Spring,Winter,Holiday,Not Holiday,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday
79,2016-02-02,665,2253,565,0,0,1,0,1,0,0,0,0,0,1,0
80,2016-02-01,720,2571,605,0,0,1,0,1,0,1,0,0,0,0,0
81,2016-01-31,920,2568,635,0,0,1,0,1,0,0,0,1,0,0,0
82,2016-01-30,900,2414,564,0,0,1,0,1,0,0,1,0,0,0,0
83,2016-01-29,479,777,580,0,0,1,0,1,1,0,0,0,0,0,0
84,2016-01-28,578,656,608,0,0,1,0,1,0,0,0,0,1,0,0
85,2016-01-27,679,5186,666,0,0,1,0,1,0,0,0,0,0,0,1
86,2016-01-26,808,1935,654,0,0,1,0,1,0,0,0,0,0,1,0
87,2016-01-25,790,2289,587,0,0,1,0,1,0,1,0,0,0,0,0
88,2016-01-24,819,2327,626,0,0,1,0,1,0,0,0,1,0,0,0
89,2016-01-23,931,2969,609,0,0,1,0,1,0,0,1,0,0,0,0
90,2016-01-22,390,635,655,0,0,1,0,1,1,0,0,0,0,0,0
91,2016-01-21,491,593,479,0,0,1,0,1,0,0,0,0,1,0,0
92,2016-01-20,632,5050,557,0,0,1,0,1,0,0,0,0,0,0,1
93,2016-01-19,723,2356,581,0,0,1,0,1,0,0,0,0,0,1,0
94,2016-01-18,717,2588,535,0,0,1,1,0,0,1,0,0,0,0,0
95,2016-01-17,829,2771,538,0,0,1,0,1,0,0,0,1,0,0,0
96,2016-01-16,802,2204,587,0,0,1,0,1,0,0,1,0,0,0,0
97,2016-01-15,544,883,792,0,0,1,0,1,1,0,0,0,0,0,0
98,2016-01-14,614,721,567,0,0,1,0,1,0,0,0,0,1,0,0
99,2016-01-13,808,4895,766,0,0,1,0,1,0,0,0,0,0,0,1
100,2016-01-12,1162,2991,914,0,0,1,0,1,0,0,0,0,0,1,0
101,2016-01-11,868,2450,657,0,0,1,0,1,0,1,0,0,0,0,0
102,2016-01-10,976,2384,671,0,0,1,0,1,0,0,0,1,0,0,0
103,2016-01-09,956,2180,604,0,0,1,0,1,0,0,1,0,0,0,0
104,2016-01-08,579,681,715,0,0,1,0,1,1,0,0,0,0,0,0
105,2016-01-07,601,610,525,0,0,1,0,1,0,0,0,0,1,0,0
106,2016-01-06,750,4667,646,0,0,1,0,1,0,0,0,0,0,0,1
107,2016-01-05,833,2316,644,0,0,1,0,1,0,0,0,0,0,1,0
108,2016-01-04,844,2809,604,0,0,1,0,1,0,1,0,0,0,0,0
109,2016-01-03,973,2522,742,0,0,1,0,1,0,0,0,1,0,0,0
110,2016-01-02,851,2384,571,0,0,1,0,1,0,0,1,0,0,0,0
111,2016-01-01,455,879,680,0,0,1,1,0,1,0,0,0,0,0,0
